"STATEICP","COUNTYICP","AGE","RACE","RACED"\
5,70,56,1,100\
5,0,62,1,100\
5,0,63,1,100\
5,0,67,1,100\
5,70,31,7,700\
5,70,8,7,700\
5,70,0,7,700\
5,70,39,1,100\
5,0,70,1,100\
5,30,67,1,100\
5,30,33,1,100\
5,0,91,1,100\
5,90,69,1,100\
5,90,55,1,100\
5,70,22,1,100\
5,70,80,1,100\
5,70,77,1,100\
5,70,39,2,200\
5,70,40,1,100\
5,70,9,9,902\
5,70,10,8,815\
5,70,32,1,100\
5,70,32,8,845\
5,0,77,1,100\
5,0,77,1,100\
5,30,57,1,100\
5,30,60,1,100\
5,70,45,1,100\
5,70,69,7,700\
5,70,58,7,700\
5,70,22,7,700\
5,70,18,7,700\
5,70,66,8,826\
5,70,41,8,826\
5,70,71,1,100\
5,90,38,1,100\
5,90,34,1,100\
5,90,74,1,100\
5,30,88,1,100\
5,30,65,1,100\
5,90,67,1,100\
5,90,68,1,100\
5,90,33,1,100\
5,30,68,1,100\
5,30,69,1,100\
5,30,82,1,100\
5,30,52,1,100\
5,70,30,1,100\
5,70,79,1,100\
5,70,81,1,100\
5,70,52,1,100\
5,90,40,1,100\
5,90,34,1,100\
5,90,2,1,100\
5,0,24,9,901\
5,0,24,1,100\
5,30,38,1,100\
5,30,40,8,845\
5,70,46,8,845\
5,70,4,8,845\
5,70,78,1,100\
5,70,83,1,100\
5,70,92,8,845\
5,70,62,8,845\
5,30,66,1,100\
5,30,73,1,100\
5,30,72,1,100\
5,30,64,1,100\
5,90,74,1,100\
5,30,60,1,100\
5,70,23,2,200\
5,90,61,1,100\
5,90,65,1,100\
5,0,52,1,100\
5,0,59,1,100\
5,0,19,1,100\
5,0,16,1,100\
5,70,61,2,200\
5,90,64,1,100\
5,90,64,1,100\
5,90,87,1,100\
5,0,65,1,100\
5,0,64,1,100\
5,70,85,1,100\
5,30,44,1,100\
5,30,43,1,100\
5,30,13,1,100\
5,30,10,1,100\
5,70,87,8,816\
5,70,85,8,816\
5,70,51,1,100\
5,70,72,1,100\
5,70,62,1,100\
5,70,64,1,100\
5,70,65,1,100\
5,90,83,1,100\
5,90,82,1,100\
5,30,44,1,100\
5,30,43,6,620\
5,30,13,8,815\
5,30,8,8,815\
5,90,57,1,100\
5,90,71,2,200\
5,90,44,1,100\
5,90,39,1,100\
5,90,36,1,100\
5,70,51,1,100\
5,70,60,1,100\
5,0,90,1,100\
5,70,30,1,100\
5,70,48,2,200\
5,70,15,2,200\
5,30,27,1,100\
5,0,79,1,100\
5,0,80,1,100\
5,30,71,1,100\
5,0,31,1,100\
5,0,36,1,100\
5,0,0,1,100\
5,70,36,1,100\
5,70,37,1,100\
5,90,53,1,100\
5,90,50,1,100\
5,90,16,1,100\
5,90,27,1,100\
5,90,30,1,100\
5,90,8,1,100\
5,90,65,1,100\
5,90,32,1,100\
5,70,76,1,100\
5,70,26,7,700\
5,70,30,7,700\
5,70,6,7,700\
5,70,0,7,700\
5,0,60,1,100\
5,0,60,1,100\
5,90,36,1,100\
5,90,33,1,100\
5,30,56,1,100\
5,30,59,1,100\
5,0,67,1,100\
5,0,96,1,100\
5,70,65,1,100\
5,70,65,1,100\
5,70,66,1,100\
5,70,53,2,200\
5,70,19,2,200\
5,0,68,1,100\
5,30,77,1,100\
5,70,43,1,100\
5,70,44,1,100\
5,70,23,1,100\
5,70,15,1,100\
5,70,29,1,100\
5,70,28,4,410\
5,90,49,1,100\
5,90,57,1,100\
5,0,71,1,100\
5,0,45,1,100\
5,0,10,1,100\
5,0,8,1,100\
5,30,54,1,100\
5,30,17,1,100\
5,30,3,1,100\
5,30,11,8,826\
5,30,7,8,826\
5,70,32,1,100\
5,70,29,1,100\
5,70,1,1,100\
5,0,84,1,100\
5,0,57,1,100\
5,0,53,1,100\
5,90,59,1,100\
5,30,77,1,100\
5,30,76,1,100\
5,70,55,1,100\
5,70,47,7,700\
5,70,22,7,700\
5,70,17,7,700\
5,70,72,1,100\
5,70,38,1,100\
5,90,63,2,200\
5,90,64,7,700\
5,90,78,1,100\
5,30,26,1,100\
5,30,28,1,100\
5,70,48,1,100\
5,30,65,1,100\
5,30,68,1,100\
5,30,35,1,100\
5,30,35,8,826\
5,70,67,1,100\
5,30,63,1,100\
5,30,67,8,802\
5,30,22,1,100\
5,70,82,1,100\
5,30,32,8,826\
5,30,36,8,826\
5,30,13,1,100\
5,30,9,1,100\
5,30,2,1,100\
5,30,2,1,100\
5,0,54,1,100\
5,0,58,1,100\
5,0,16,1,100\
5,70,63,1,100\
5,70,81,1,100\
5,70,33,1,100\
5,70,88,1,100\
5,70,2,1,100\
5,70,0,1,100\
5,70,32,1,100\
5,30,32,1,100\
5,30,37,1,100\
5,70,29,1,100\
5,70,40,7,700\
5,70,29,7,700\
5,70,0,7,700\
5,70,68,1,100\
5,70,65,1,100\
5,70,38,1,100\
5,70,27,1,100\
5,0,58,1,100\
5,0,59,1,100\
5,90,61,1,100\
5,90,60,1,100\
5,90,20,1,100\
5,90,17,1,100\
5,90,84,1,100\
5,90,68,1,100\
5,0,63,1,100\
5,0,60,1,100\
5,70,77,7,700\
5,0,62,1,100\
5,70,84,1,100\
5,70,79,1,100\
5,70,76,1,100\
5,70,77,1,100\
5,70,43,8,826\
5,70,44,8,826\
5,70,19,8,826\
5,70,17,8,826\
5,70,56,1,100\
5,70,58,1,100\
5,70,27,1,100\
5,70,25,1,100\
5,70,82,1,100\
5,30,50,2,200\
5,70,20,1,100\
5,70,25,1,100\
5,30,25,1,100\
5,30,25,1,100\
5,30,3,1,100\
5,30,0,1,100\
